ts_ns,cumPnL_Hawkes-full,tickPnL_Hawkes-full,cumPnL_Hawkes-self,tickPnL_Hawkes-self,cumPnL_EWMA-count,tickPnL_EWMA-count,cumPnL_RealVol,tickPnL_RealVol,cumPnL_EWMA-vol,tickPnL_EWMA-vol,cumPnL_Imbalance,tickPnL_Imbalance,cumPnL_TOD,tickPnL_TOD,cumPnL_Fixed,tickPnL_Fixed,cumPnL_Oracle,tickPnL_Oracle
1764615990000000000,609.3715960927157,4.123372914096976,752.8054732570288,3.9405644801839887,569.3677451532262,3.523398116390759,590.6286375281883,2.3007002230514266,418.62705484596637,2.8473094230918723,597.7511095664004,4.032814022534181,693.7539385724056,4.573571105694123,701.325,2.8449999999999753,743.2240173248828,2.822445998247287
1764616020000000000,612.9517603290128,3.5801642362971196,756.436682159404,3.6312089023751497,572.1340528205159,2.7663076672896287,592.8011588899827,2.1725213617944727,420.93584476828636,2.3087899223199613,599.8357722949537,2.0846627285533805,698.4909661006049,4.7370275281992615,704.73,3.4050000000000007,747.2096563146844,3.9856389898016116
1764616050000000000,616.6303431402165,3.6785828112037353,760.3643401846058,3.927658025201828,575.3841323103767,3.250079489860814,596.6187140497647,3.817555159781945,423.5112768328155,2.5754320645291555,602.2362223871834,2.4004500922296828,704.4579911154261,5.967025014821291,706.615,1.8850000000000087,751.826424953074,4.616768638389688
1764616080000000000,618.6673674161099,2.037024275893377,762.6420837194408,2.277743534835062,577.566023542634,2.1818912322572697,598.3679217532612,1.74920770349652,425.1492640748128,1.6379872419973025,604.4923882118953,2.256165824711936,706.2042524731497,1.746261357723559,709.34,2.7250000000000663,754.6636193242056,2.837194371131548
1764616110000000000,621.1833885005749,2.516021084465078,766.7056333632867,4.063549643845785,580.662629158074,3.09660561544,601.2749651748943,2.9070434216331953,427.1827223761818,2.033458301369019,607.3328635669026,2.8404753550072206,711.2882459275316,5.083993454381981,713.45,4.1099999999999755,757.6935721746626,3.0299528504569997
1764616140000000000,623.497549371737,2.314160871162107,769.7883241236253,3.0826907603387146,583.1936803125237,2.5310511544497594,603.6218490233418,2.346883848447575,429.4066317858838,2.223909409701996,610.1712339166467,2.8383703497441184,715.3083647750603,4.020118847528681,717.1500000000001,3.700000000000021,760.4700988596273,2.7765266849648205
1764616170000000000,626.3875603749153,2.8900110031782957,774.2045920969994,4.416267973374083,586.7641435017713,3.5704631892475613,608.5397260612622,4.917877037920325,432.2325047045309,2.82587291864715,612.4484896057563,2.2772556891096194,721.2518658348756,5.9435010598152545,720.5300000000001,3.3800000000000283,763.8932947998078,3.4231959401804932
1764616200000000000,630.7989165638754,4.411356188960072,779.5297176927081,5.3251255957087675,590.0224136042282,3.258270102456941,614.870483904754,6.33075784349182,435.5019594130603,3.269454708529378,615.0017155984017,2.5532259926453413,728.6560430226963,7.404177187820676,724.4000000000001,3.8700000000000183,768.4320477658437,4.5387529660359105
1764616230000000000,634.8571391076895,4.058222543814061,784.6241006838012,5.094382991093122,593.9852756987126,3.9628620944844477,620.3360474195758,5.46556351482181,438.31151399716435,2.809554584104011,620.5512597772322,5.549544178830499,734.6034270692633,5.947384046566935,727.215,2.814999999999966,773.634441235908,5.202393470064271
1764616260000000000,638.6760518561283,3.81891274843879,789.0744398750207,4.450339191219584,597.6938237848956,3.708548086182955,626.2686847983999,5.9326373788241344,441.5676597023904,3.2561457052260523,625.8764510621721,5.325191284939952,741.5948329206608,6.991405851397478,735.355,8.139999999999993,778.9150662246457,5.2806249887376815
1764616290000000000,640.2322353964033,1.5561835402750703,792.0397681173644,2.9653282423435927,600.4350154513853,2.741191666489689,628.6903427502269,2.421657951827056,443.56949176185907,2.001832059468634,628.17628468759,2.2998336254179383,745.4763123566711,3.8814794360102947,737.6800000000001,2.3249999999999886,781.0997167522644,2.184650527618752
1764616320000000000,644.8416866524013,4.609451255998065,799.4099794248435,7.370211307479213,604.8460538209079,4.411038369522513,632.1599955296864,3.4696527794594973,448.678750863491,5.109259101631931,634.4521655528096,6.275880865219495,749.3967967278522,3.920484371181174,742.0550000000001,4.374999999999983,786.8950856180819,5.795368865817526
1764616350000000000,649.7963041032518,4.954617450850548,803.5397918402637,4.129812415420138,609.066822666131,4.220768845223104,637.0414331327617,4.88143760307524,451.85877618938747,3.180025325896471,639.6105020139636,5.158336461154057,756.3464420590326,6.9496453311803075,748.7950000000001,6.740000000000039,794.2952010432762,7.400115425194259
1764616380000000000,654.4611450689408,4.664840965688949,807.4067488534197,3.8669570131559987,612.6159037398074,3.5490810736765055,640.5924560579914,3.551022925229796,454.2510046169494,2.392228427561908,644.3840624284222,4.77356041445866,761.3245935385181,4.9781514794855175,754.4650000000001,5.6700000000000355,799.4354333862617,5.140232342985563
1764616410000000000,658.5715145544485,4.110369485507713,811.6375546670354,4.230805813615671,616.2584306753778,3.6425269355703165,643.1205639735232,2.5281079155317907,457.18311783775886,2.9321132208094562,650.6778218156729,6.293759387250685,767.8150210462137,6.4904275076955935,761.6900000000002,7.225000000000068,804.9715423286088,5.536108942347129
1764616440000000000,662.3580878683321,3.786573313883531,815.8673449383689,4.229790271333482,619.449551087813,3.1911204124352155,647.0864725438851,3.9659085703619303,460.4542803571076,3.2711625193487834,656.0153045768229,5.337482761149972,773.8457212103921,6.030700164178376,766.4250000000002,4.735000000000021,809.7007439648415,4.729201636232735
1764616470000000000,664.5687194308078,2.210631562475752,820.0598797732476,4.192534834878773,622.1996946649167,2.750143577103709,648.9010054989748,1.8145329550896807,462.1908690197517,1.7365886626440927,659.9621717434054,3.9468671665824275,779.2192732439478,5.373552033555688,769.1350000000002,2.710000000000008,812.5730882561589,2.8723442913173503
1764616500000000000,667.1797997168928,2.611080286084973,823.4079828125416,3.3481030392939117,625.2039881243343,3.0042934594175494,650.8294012048993,1.9283957059245518,464.7004296915193,2.5095606717676153,664.7362694709781,4.774097727572696,785.1990052450107,5.979732001062847,772.9300000000002,3.7949999999999617,816.9709654441037,4.397877187944827
