source,target,alpha_IS,alpha_OOS,abs_diff,rel_change
LCID,COST,0.005577339837854189,0.01634078383687207,0.01076344399901788,1.9298491778236688
LCID,RXRX,0.005498689235869313,0.0053899629889156,0.00010872624695371265,-0.01977308492242414
TSLA,WMT,0.005457095708383639,0.005279317428444806,0.00017777827993883336,-0.032577393482724044
NVDA,WMT,0.005420245892078788,0.0053397643775350235,8.048151454376467e-05,-0.014848286897557935
RXRX,ISRG,0.005403906779869045,0.007978865653795747,0.0025749588739267014,0.47649861735826016
COST,GILD,0.005378501217015371,0.003640995133202391,0.0017375060838129798,-0.32304591618517664
ISRG,LCID,0.0052243526935962506,0.0030353671953225795,0.002188985498273671,-0.4189956989312428
GILD,CRM,0.005219752402198952,0.004556645751054129,0.0006631066511448231,-0.12703770785916868
CSCO,PEP,0.005212407440588551,0.004959539398807312,0.00025286804178123977,-0.048512622916994846
WMT,PEP,0.005184802442310632,0.004179868130991245,0.0010049343113193868,-0.1938226932026752
CSCO,SBUX,0.005179473965922867,0.004325828917322076,0.000853645048600791,-0.16481276015470603
WMT,SBUX,0.004989073779339844,0.0036834304515046714,0.0013056433278351722,-0.2617000206013648
PEP,GILD,0.004933722378348075,0.0036057611091821784,0.0013279612691658965,-0.26915956669918284
MSFT,SBUX,0.004922743653519774,0.0035993008721767568,0.0013234427813430174,-0.26884196823392825
AMGN,RXRX,0.0049102028447250735,0.0033526509231301157,0.0015575519215949578,-0.31720659996810513
MSFT,PEP,0.004857197033453952,0.004006098287548808,0.0008510987459051439,-0.17522389719919534
AAPL,SBUX,0.004825477010873722,0.0035894082025095175,0.0012360688083642045,-0.25615420901120545
INTC,PEP,0.004817301437610298,0.0039702224950087985,0.0008470789426014997,-0.17584060187350192
CRM,GILD,0.004814340527737421,0.0036901535455057537,0.0011241869822316672,-0.23350750547862506
INTC,SBUX,0.004809123111226899,0.003679014113982907,0.0011301089972439917,-0.2349922472733719
PEP,CRM,0.004769725221619254,0.003840202170027304,0.0009295230515919501,-0.19487938185306455
AAPL,PEP,0.004728740468606535,0.003979777758732498,0.0007489627098740369,-0.1583849084121245
AMZN,SBUX,0.0047175350792434964,0.0036357358596391374,0.001081799219604359,-0.22931401850596325
AMZN,PEP,0.004717332968012027,0.003950740068416069,0.0007665928995959576,-0.16250522906521117
SBUX,CRM,0.004716143499586323,0.004161095493866062,0.0005550480057202609,-0.11769082702014405
NVDA,SBUX,0.004667600827740854,0.0035248163369175824,0.0011427844908232718,-0.24483285625086804
TSLA,SBUX,0.004628538552371521,0.0034637942570054313,0.0011647442953660893,-0.2516435297560639
ISRG,AMGN,0.004611082670644231,0.005354291333078669,0.0007432086624344384,0.16117842678937144
NVDA,PEP,0.00460360786757435,0.003896937487840837,0.0007066703797335133,-0.15350326635730485
ISRG,RXRX,0.004572236903586023,0.004913473351019284,0.00034123644743326055,0.07463211296958353
TSLA,PEP,0.004553649380786813,0.003738955960068166,0.0008146934207186474,-0.17890960930368907
CSCO,GILD,0.00443569833336116,0.0031074719711746378,0.0013282263621865222,-0.29943951729126833
SBUX,GILD,0.0043970933250064535,0.0037957800646562932,0.0006013132603501603,-0.1367521333716391
WMT,GILD,0.004372435015730745,0.0030118375383378893,0.0013605974773928556,-0.31117543445322565
WMT,CRM,0.004307453847391133,0.003734583968590977,0.0005728698788001561,-0.1329947038666666
CSCO,CRM,0.004306776153092488,0.004295393329312949,1.138282377953926e-05,-0.002642997208339639
MSFT,CRM,0.0041586134416083135,0.003594817777376775,0.0005637956642315384,-0.13557266536580073
INTC,CRM,0.0041495507621797725,0.003966606152477277,0.00018294460970249594,-0.04408770474453657
GILD,COST,0.004106811650644639,0.007053861142253433,0.002947049491608794,0.7175986060037941
COST,ISRG,0.004099633575164924,0.0025675177448223592,0.0015321158303425644,-0.37371927638390595
PEP,COST,0.004090063969121041,0.0049305046348530855,0.0008404406657320446,0.20548299910396384
COST,LCID,0.004028300252728283,0.0028435698478137426,0.0011847304049145404,-0.29410108223718606
AMZN,CRM,0.004013575355533417,0.003486402522133305,0.0005271728334001122,-0.13134710905632388
SBUX,COST,0.004005827257016789,0.0056027060757689005,0.0015968788187521116,0.3986379666210736
