date,inst,policy,total_pnl,fill_rate,total_fills,n_ticks
2025-12-17,CRM,qjn,-0.4750000000000001,0.023619312261201807,71.0,2879
2025-12-17,CRM,hgt,-0.4300000000000001,0.02153525529697812,63.0,2879
2025-12-17,CRM,hmin,1.41,0.029176797499131643,88.0,2879
2025-12-17,CRM,hfg,-0.745,0.027787426189649182,85.0,2879
2025-12-17,CRM,htg,0.9549999999999998,0.027787426189649182,83.0,2879
2025-12-17,CRM,hinv,0.675,0.02882945467176103,90.0,2879
2025-12-17,CRM,hfixfl,0.6400000000000001,0.02744008336227857,81.0,2879
2025-12-18,CRM,sel,1.4449999999999998,0.02466134074331365,71.0,2879
2025-12-18,CRM,tod,2.1350000000000002,0.0281347690170198,83.0,2879
2025-12-18,CRM,fix,1.3599999999999999,0.02744008336227857,82.0,2879
2025-12-18,CRM,qjn,0.46499999999999997,0.029176797499131643,86.0,2879
2025-12-18,CRM,hgt,0.52,0.028482111844390413,84.0,2879
2025-12-18,CRM,hmin,1.52,0.027787426189649182,82.0,2879
2025-12-18,CRM,hfg,1.445,0.02674539770753734,80.0,2879
2025-12-18,CRM,htg,2.22,0.02744008336227857,81.0,2879
2025-12-18,CRM,hinv,0.7699999999999998,0.029871483153872874,89.0,2879
2025-12-18,CRM,hfixfl,1.51,0.025703369225425494,75.0,2879
2025-12-19,CRM,sel,0.1649999999999998,0.02396665508857242,71.0,2879
2025-12-19,CRM,tod,1.445,0.025703369225425494,81.0,2879
2025-12-19,CRM,fix,0.51,0.02327196943383119,73.0,2879
2025-12-19,CRM,qjn,-0.8600000000000001,0.029524140326502257,89.0,2879
2025-12-19,CRM,hgt,-0.7000000000000001,0.02605071205279611,76.0,2879
2025-12-19,CRM,hmin,1.07,0.023619312261201807,75.0,2879
2025-12-19,CRM,hfg,0.635,0.02049322681486627,62.0,2879
2025-12-19,CRM,htg,0.77,0.022577283779089963,70.0,2879
2025-12-19,CRM,hinv,-1.2600000000000002,0.030218825981243487,97.0,2879
2025-12-19,CRM,hfixfl,0.19499999999999984,0.022924626606460576,67.0,2879
2025-12-22,CRM,sel,0.9,0.029871483153872874,89.0,2879
2025-12-22,CRM,tod,-0.27500000000000013,0.033692254254949636,102.0,2879
2025-12-22,CRM,fix,1.0799999999999998,0.0305661688086141,97.0,2879
2025-12-22,CRM,qjn,0.7099999999999999,0.029871483153872874,96.0,2879
2025-12-22,CRM,hgt,0.6449999999999999,0.027092740534907955,84.0,2879
2025-12-22,CRM,hmin,-0.44500000000000006,0.03126085446335533,99.0,2879
2025-12-22,CRM,hfg,0.915,0.02744008336227857,84.0,2879
2025-12-22,CRM,htg,-0.355,0.030913511635984717,93.0,2879
2025-12-22,CRM,hinv,-0.295,0.033692254254949636,117.0,2879
2025-12-22,CRM,hfixfl,0.555,0.028482111844390413,85.0,2879
2025-12-23,CRM,sel,0.6849999999999999,0.02535602639805488,76.0,2879
2025-12-23,CRM,tod,1.7999999999999998,0.02882945467176103,89.0,2879
2025-12-23,CRM,fix,1.855,0.029176797499131643,87.0,2879
2025-12-23,CRM,qjn,1.6,0.02535602639805488,76.0,2879
2025-12-23,CRM,hgt,1.6,0.025008683570684264,75.0,2879
2025-12-23,CRM,hmin,1.765,0.03647099687391455,113.0,2879
2025-12-23,CRM,hfg,1.0699999999999998,0.028482111844390413,85.0,2879
2025-12-23,CRM,htg,1.7999999999999998,0.028482111844390413,88.0,2879
2025-12-23,CRM,hinv,1.1949999999999998,0.038902396665508855,128.0,2879
2025-12-23,CRM,hfixfl,1.01,0.02466134074331365,74.0,2879
2025-12-24,CRM,sel,-0.6950000000000001,0.020145883987495658,63.0,2879
2025-12-24,CRM,tod,0.025,0.018409169850642584,57.0,2879
2025-12-24,CRM,fix,-1.535,0.01667245571378951,50.0,2879
2025-12-24,CRM,qjn,0.615,0.01528308440430705,45.0,2879
2025-12-24,CRM,hgt,0.615,0.01528308440430705,45.0,2879
2025-12-24,CRM,hmin,0.3150000000000001,0.019798541160125045,62.0,2879
2025-12-24,CRM,hfg,-1.535,0.01667245571378951,50.0,2879
2025-12-24,CRM,htg,0.025,0.018409169850642584,57.0,2879
2025-12-24,CRM,hinv,-0.27999999999999986,0.013199027440083362,40.0,2879
2025-12-24,CRM,hfixfl,-1.06,0.017019798541160126,52.0,2879
2025-12-26,CRM,sel,-0.3649999999999999,0.01667245571378951,48.0,2879
2025-12-26,CRM,tod,-0.5399999999999999,0.02049322681486627,61.0,2879
2025-12-26,CRM,fix,0.35000000000000003,0.024313997915943037,75.0,2879
2025-12-26,CRM,qjn,-0.45500000000000007,0.021882598124348732,68.0,2879
2025-12-26,CRM,hgt,-0.5,0.021187912469607502,65.0,2879
2025-12-26,CRM,hmin,-0.19499999999999998,0.025703369225425494,78.0,2879
2025-12-26,CRM,hfg,0.2950000000000001,0.022924626606460576,69.0,2879
2025-12-26,CRM,htg,-0.5549999999999999,0.019451198332754428,58.0,2879
2025-12-26,CRM,hinv,0.66,0.019103855505383814,60.0,2879
